trip_id,duration,start_time,end_time,bike_id,trip_route_category,plan_duration,passholder_type,bike_type,start_station,end_station,start_lat,start_lon,end_lat,end_lon,taxicab_distance
171434211,136,9/21/2021 18:10,9/21/2021 20:26,12381,Round Trip,1,Walk-up,standard,4212,4212,33.988129,-118.471741,33.988129,-118.471741,0
171434215,89,9/21/2021 18:06,9/21/2021 19:35,13903,Round Trip,30,Monthly Pass,standard,4214,4214,33.99556,-118.481552,33.99556,-118.481552,0
171434219,66,9/21/2021 18:02,9/21/2021 19:08,13243,Round Trip,30,Monthly Pass,standard,4214,4214,33.99556,-118.481552,33.99556,-118.481552,0
171434232,79,9/21/2021 17:45,9/21/2021 19:04,6574,One Way,365,Annual Pass,standard,3035,4512,34.048401,-118.260948,34.043812,-118.264969,0.00861
171436282,7,9/21/2021 22:43,9/21/2021 22:50,20212,One Way,30,Monthly Pass,standard,4406,4302,34.101891,-118.300613,34.092491,-118.291443,0.01857
171436283,14,9/21/2021 22:42,9/21/2021 22:56,20220,One Way,1,Walk-up,standard,4494,4472,34.075981,-118.256012,34.092602,-118.28093,0.041539
171436284,6,9/21/2021 22:34,9/21/2021 22:40,20205,One Way,365,Annual Pass,standard,3082,3046,34.04652,-118.237411,34.052872,-118.24749,0.016431
171436285,10,9/21/2021 22:31,9/21/2021 22:41,19293,One Way,30,Monthly Pass,electric,3008,3014,34.046612,-118.262733,34.05661,-118.237213,0.035518
171436286,27,9/21/2021 22:24,9/21/2021 22:51,6373,One Way,30,Monthly Pass,standard,3056,3075,34.03746,-118.265381,34.04211,-118.256187,0.013844
171436287,2,9/21/2021 22:22,9/21/2021 22:24,20139,Round Trip,30,Monthly Pass,standard,3056,3056,34.03746,-118.265381,34.03746,-118.265381,0
171436288,13,9/21/2021 22:22,9/21/2021 22:35,6713,One Way,365,Annual Pass,standard,3005,4311,34.0485,-118.258537,34.059689,-118.294662,0.047314
